,open,high,low,close,volume,marketCap,timestamp,crypto_name,date
0,112.9000015,118.8000031,107.1429977,115.9100037,0,1288693176,2013-05-05T23:59:59.999Z,Bitcoin,05-05-2013
1,3.493129969,3.69246006,3.346060038,3.590889931,0,62298185.43,2013-05-05T23:59:59.999Z,Litecoin,05-05-2013
2,115.9800034,124.663002,106.6399994,112.3000031,0,1249023060,2013-05-06T23:59:59.999Z,Bitcoin,06-05-2013
3,3.594219923,3.781019926,3.116019964,3.371249914,0,58594361.24,2013-05-06T23:59:59.999Z,Litecoin,06-05-2013
4,112.25,113.4440002,97.69999695,111.5,0,1240593600,2013-05-07T23:59:59.999Z,Bitcoin,07-05-2013
5,3.370870113,3.406719923,2.939790011,3.332740068,0,58051265.04,2013-05-07T23:59:59.999Z,Litecoin,07-05-2013
6,3.283620119,3.4911201,3.283620119,3.409240007,0,59508216.02,2013-05-08T23:59:59.999Z,Litecoin,08-05-2013
7,109.5999985,115.7799988,109.5999985,113.5660019,0,1264049202,2013-05-08T23:59:59.999Z,Bitcoin,08-05-2013
8,3.399399996,3.441689968,3.294850111,3.416150093,0,59755569.09,2013-05-09T23:59:59.999Z,Litecoin,09-05-2013
9,113.1999969,113.4599991,109.2600021,112.6699982,0,1254535382,2013-05-09T23:59:59.999Z,Bitcoin,09-05-2013
10,112.7990036,122,111.5510025,117.1999969,0,1305479080,2013-05-10T23:59:59.999Z,Bitcoin,10-05-2013
11,3.406529903,3.631639957,3.367189884,3.443340063,0,60358926.66,2013-05-10T23:59:59.999Z,Litecoin,10-05-2013
12,117.6999969,118.6790009,113.0100021,115.2429962,0,1284207489,2013-05-11T23:59:59.999Z,Bitcoin,11-05-2013
13,3.460380077,3.47981,3.300610066,3.348959923,0,58809512.55,2013-05-11T23:59:59.999Z,Litecoin,11-05-2013
14,3.362809897,3.422240019,3.215869904,3.269449949,0,57513319.98,2013-05-12T23:59:59.999Z,Litecoin,12-05-2013
15,115.6399994,117.4489975,113.4349976,115,0,1281982625,2013-05-12T23:59:59.999Z,Bitcoin,12-05-2013
16,3.260890007,3.373430014,3.198950052,3.279839993,0,57790879.2,2013-05-13T23:59:59.999Z,Litecoin,13-05-2013
17,114.8199997,118.6989975,114.5,117.9800034,0,1315710011,2013-05-13T23:59:59.999Z,Bitcoin,13-05-2013
18,117.9800034,119.8000031,110.25,111.5,0,1243874488,2013-05-14T23:59:59.999Z,Bitcoin,14-05-2013
19,3.281009913,3.331850052,2.777199984,2.824300051,0,49847567.58,2013-05-14T23:59:59.999Z,Litecoin,14-05-2013
20,111.4000015,115.8099976,103.5,114.2200012,0,1274623813,2013-05-15T23:59:59.999Z,Bitcoin,15-05-2013
21,2.823990107,3.035820007,2.63925004,2.935450077,0,51891652.21,2013-05-15T23:59:59.999Z,Litecoin,15-05-2013
22,114.2200012,118.7600021,112.1999969,118.7600021,0,1325726787,2013-05-16T23:59:59.999Z,Bitcoin,16-05-2013
23,2.929739952,2.967669964,2.685110092,2.919120073,0,51685880.34,2013-05-16T23:59:59.999Z,Litecoin,16-05-2013
24,118.2099991,125.3000031,116.5709991,123.0149994,0,1373723882,2013-05-17T23:59:59.999Z,Bitcoin,17-05-2013
25,2.891419888,3.33533001,2.870769978,3.186089993,0,56498073.73,2013-05-17T23:59:59.999Z,Litecoin,17-05-2013
26,3.198649883,3.363749981,3.130880117,3.294929981,0,58518793.71,2013-05-18T23:59:59.999Z,Litecoin,18-05-2013
27,123.5,125.25,122.3000031,123.4980011,0,1379574546,2013-05-18T23:59:59.999Z,Bitcoin,18-05-2013
28,3.302050114,3.412309885,3.187880039,3.303489924,0,58760676.41,2013-05-19T23:59:59.999Z,Litecoin,19-05-2013
29,123.2109985,124.5,119.5709991,121.9899979,0,1363204703,2013-05-19T23:59:59.999Z,Bitcoin,19-05-2013
30,122.5,123.6210022,120.1200027,122,0,1363709900,2013-05-20T23:59:59.999Z,Bitcoin,20-05-2013
31,3.314850092,3.323339939,3.150049925,3.181760073,0,56682748.95,2013-05-20T23:59:59.999Z,Litecoin,20-05-2013
32,3.193259955,3.215970039,3.040910006,3.086750031,0,55073034.16,2013-05-21T23:59:59.999Z,Litecoin,21-05-2013
33,122.0199966,123,121.2099991,122.8799973,0,1374013440,2013-05-21T23:59:59.999Z,Bitcoin,21-05-2013
34,3.091909885,3.135289908,3.031189919,3.120759964,0,55766901.42,2013-05-22T23:59:59.999Z,Litecoin,22-05-2013
35,122.8899994,124.0009995,122,123.8889999,0,1385778993,2013-05-22T23:59:59.999Z,Bitcoin,22-05-2013
36,123.8000031,126.9339981,123.0999985,126.6999969,0,1417769833,2013-05-23T23:59:59.999Z,Bitcoin,23-05-2013
37,3.118520021,3.186460018,3.090790033,3.181440115,0,56949220.37,2013-05-23T23:59:59.999Z,Litecoin,23-05-2013
38,3.170130014,3.185499907,3.036580086,3.179480076,0,57017468.58,2013-05-24T23:59:59.999Z,Litecoin,24-05-2013
39,126.3000031,133.8500061,125.7190018,133.1999969,0,1491070770,2013-05-24T23:59:59.999Z,Bitcoin,24-05-2013
40,3.187750101,3.195450068,3.05479002,3.118690014,0,56026342.72,2013-05-25T23:59:59.999Z,Litecoin,25-05-2013
41,133.1000061,133.2189941,128.8999939,131.9799957,0,1477958233,2013-05-25T23:59:59.999Z,Bitcoin,25-05-2013
42,131.9859924,136,130.6150055,133.4799957,0,1495293015,2013-05-26T23:59:59.999Z,Bitcoin,26-05-2013
